# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     6     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    35     0
    1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     1     3
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    36     0
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
    0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     6     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
    0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     2
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5    18
    1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1    22
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1    21
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     2
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     5     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5    20
    1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     4
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     4
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1    20
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     3
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
    0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     2
    0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     6     0
    0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     4
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     3     5
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     5
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     5
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     7     0
    0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     8     0
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     9     1
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    41     2
    1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     5
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     0
    0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     6     1
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     8     0
    1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     5     3
    0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    10     0
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0    10     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     8     3
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     6     0
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1     3
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
    0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
    1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
    0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     1
    0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     1
    0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    35     5
    1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
    0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     8     1
    0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
    1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     7     1
