#Date        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20231204      1    13    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     1
 20231204      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     3
 20231204      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0    25
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     2
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
 20231204      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     5     2
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     4     0
 20231204      1    10    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     2
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    43     1
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     7     0
 20231204      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     1     3
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     6    18
 20231204      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     2
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     3
#Date        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5    21
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     0
 20231204      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     1     3
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
 20231204      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     4
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0    21
 20231204      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
 20231204      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 20231204      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     8     0
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     4
 20231204      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     0
 20231204      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     6     0
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1     4
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     8     1
 20231204      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    43     0
 20231204      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     2    21
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     6     0
 20231204      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     5     1
 20231204      0    13    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     0
